"UNIT_CODE","long","lat","prcp","tmax","tmin","tavg","year","month"
"ACAD",-68.26019,44.376559,0,-0.84375,-9.4296875,-5.1328125,2006,1
"MIMA",-71.3073876327855,42.4562880119539,3.7109375,0.3203125,-5.6796875,-2.6796875,2006,1
"SAIR",-71.0076952963716,42.4683066321236,4.6015625,2.0703125,-5.5703125,-1.75,2006,1
"SARA",-73.6299137747192,42.9983135110409,3.4296875,-4.2734375,-7.75,-6.0078125,2006,1
"SAGA",-72.3745368890111,43.4991728563661,1.5390625,-3.8671875,-10.8671875,-7.3671875,2006,1
"MORR",-74.5345858039958,40.765223403805,3.3203125,1.4921875,-2.953125,-0.7265625,2006,1
"WEFA",-73.4545254713119,41.2588625060016,1.796875,0.6875,-3.90625,-1.609375,2006,1
"MABI",-72.534770288065,43.6334208259905,1.7578125,-4.1796875,-11.3984375,-7.7890625,2006,1
"ROVA",-73.9247621947604,41.770516898004,5.0078125,-1.59375,-3.828125,-2.7109375,2006,1
"ACAD",-68.26019,44.376559,6.078125,3.65625,-4.2734375,-0.296875,2007,1
"MIMA",-71.3073876327855,42.4562880119539,7.21875,5.296875,-3.9609375,0.671875,2007,1
"SAIR",-71.0076952963716,42.4683066321236,7.2578125,4.5234375,-4.34375,0.09375,2007,1
"SARA",-73.6299137747192,42.9983135110409,7.6015625,2.5625,-8,-2.71875,2007,1
"SAGA",-72.3745368890111,43.4991728563661,9.8515625,1.390625,-10.296875,-4.4609375,2007,1
"MORR",-74.5345858039958,40.765223403805,28.546875,9.078125,-0.6171875,4.2265625,2007,1
"WEFA",-73.4545254713119,41.2588625060016,20.0625,9.1015625,-0.4375,4.328125,2007,1
"MABI",-72.534770288065,43.6334208259905,10.2109375,1.7421875,-10.421875,-4.34375,2007,1
"ROVA",-73.9247621947604,41.770516898004,13.6171875,6.2890625,-3.34375,1.4765625,2007,1
"ACAD",-68.26019,44.376559,9.0078125,-0.21875,-9.6875,-4.9609375,2008,1
"MIMA",-71.3073876327855,42.4562880119539,0.9765625,3.7734375,-5.90625,-1.0703125,2008,1
"SAIR",-71.0076952963716,42.4683066321236,1.09375,3.90625,-4.03125,-0.0625,2008,1
"SARA",-73.6299137747192,42.9983135110409,0,2.75,-6.140625,-1.6875,2008,1
"SAGA",-72.3745368890111,43.4991728563661,1.2734375,1.7109375,-9.453125,-3.8671875,2008,1
"MORR",-74.5345858039958,40.765223403805,0,6.046875,-4.25,0.8984375,2008,1
"WEFA",-73.4545254713119,41.2588625060016,4.078125,5.453125,-4.0703125,0.6875,2008,1
"MABI",-72.534770288065,43.6334208259905,1.1328125,1.5078125,-9.4375,-3.9609375,2008,1
"ROVA",-73.9247621947604,41.770516898004,0,4.3984375,-5.2109375,-0.3984375,2008,1
"ACAD",-68.26019,44.376559,0,-7.5234375,-13.703125,-10.609375,2009,1
"MIMA",-71.3073876327855,42.4562880119539,8.4375,-3.84375,-14.6171875,-9.2265625,2009,1
"SAIR",-71.0076952963716,42.4683066321236,9.7421875,-3.8203125,-14.109375,-8.9609375,2009,1
"SARA",-73.6299137747192,42.9983135110409,1,-4.1328125,-16.1796875,-10.1484375,2009,1
"SAGA",-72.3745368890111,43.4991728563661,1.1796875,-8.2890625,-17.78125,-13.0390625,2009,1
"MORR",-74.5345858039958,40.765223403805,0.96875,0.6796875,-11.2890625,-5.296875,2009,1
"WEFA",-73.4545254713119,41.2588625060016,2.4296875,-2.2890625,-14.3203125,-8.296875,2009,1
"MABI",-72.534770288065,43.6334208259905,0.5703125,-8.5703125,-18.6171875,-13.6015625,2009,1
"ROVA",-73.9247621947604,41.770516898004,7.640625,-1.8203125,-12.6875,-7.25,2009,1
"ACAD",-68.26019,44.376559,2.46875,0.7265625,-12.5234375,-5.890625,2010,1
"MIMA",-71.3073876327855,42.4562880119539,2.75,-0.890625,-5.640625,-3.2578125,2010,1
"SAIR",-71.0076952963716,42.4683066321236,2.96875,0.1484375,-5.15625,-2.5,2010,1
"SARA",-73.6299137747192,42.9983135110409,2.7734375,-0.6328125,-4.671875,-2.6484375,2010,1
"SAGA",-72.3745368890111,43.4991728563661,2.4296875,-3.078125,-9.328125,-6.2109375,2010,1
"MORR",-74.5345858039958,40.765223403805,4.671875,1.4765625,-3.8671875,-1.203125,2010,1
"WEFA",-73.4545254713119,41.2588625060016,7.65625,1.046875,-3.7265625,-1.34375,2010,1
"MABI",-72.534770288065,43.6334208259905,2.3671875,-2.84375,-9.6171875,-6.2265625,2010,1
"ROVA",-73.9247621947604,41.770516898004,4.609375,-0.1015625,-4.9296875,-2.5078125,2010,1
"ACAD",-68.26019,44.376559,0,6.7734375,0.75,3.7578125,2011,1
"MIMA",-71.3073876327855,42.4562880119539,0,10.8515625,-2.8828125,3.9765625,2011,1
"SAIR",-71.0076952963716,42.4683066321236,0,10.34375,-1.8125,4.2578125,2011,1
"SARA",-73.6299137747192,42.9983135110409,0,6.0078125,-2.328125,1.84375,2011,1
"SAGA",-72.3745368890111,43.4991728563661,0,6.6328125,-5.0625,0.7890625,2011,1
"MORR",-74.5345858039958,40.765223403805,0,8,-3.6015625,2.203125,2011,1
"WEFA",-73.4545254713119,41.2588625060016,0,9.3671875,-4.859375,2.25,2011,1
"MABI",-72.534770288065,43.6334208259905,0,6.7734375,-5.15625,0.796875,2011,1
"ROVA",-73.9247621947604,41.770516898004,0,7.7578125,-3.7109375,2.0234375,2011,1
"ACAD",-68.26019,44.376559,6.1875,6.3515625,2.4609375,4.3984375,2012,1
"MIMA",-71.3073876327855,42.4562880119539,0.578125,4.859375,-1.4921875,1.6875,2012,1
"SAIR",-71.0076952963716,42.4683066321236,0.71875,5.1328125,-0.328125,2.3984375,2012,1
"SARA",-73.6299137747192,42.9983135110409,0.28125,6.34375,-0.109375,3.109375,2012,1
"SAGA",-72.3745368890111,43.4991728563661,0.2734375,3.1171875,-1.1875,0.96875,2012,1
"MORR",-74.5345858039958,40.765223403805,0,12.2578125,0.8828125,6.5703125,2012,1
"WEFA",-73.4545254713119,41.2588625060016,0,10.7265625,2.0703125,6.3984375,2012,1
"MABI",-72.534770288065,43.6334208259905,0.2734375,2.9921875,-1.140625,0.9296875,2012,1
"ROVA",-73.9247621947604,41.770516898004,0,10.0234375,0.8125,5.421875,2012,1
"ACAD",-68.26019,44.376559,0,-0.9296875,-7.5390625,-4.2421875,2013,1
"MIMA",-71.3073876327855,42.4562880119539,0,1.5078125,-8.0078125,-3.25,2013,1
"SAIR",-71.0076952963716,42.4683066321236,0,1.5703125,-6.8125,-2.6171875,2013,1
"SARA",-73.6299137747192,42.9983135110409,0,1.0703125,-6.9921875,-2.9609375,2013,1
"SAGA",-72.3745368890111,43.4991728563661,0,0.5,-8.328125,-3.921875,2013,1
"MORR",-74.5345858039958,40.765223403805,0,3.859375,-2.34375,0.7578125,2013,1
"WEFA",-73.4545254713119,41.2588625060016,0,3.2109375,-4.390625,-0.59375,2013,1
"MABI",-72.534770288065,43.6334208259905,0,0.171875,-8.3125,-4.0703125,2013,1
"ROVA",-73.9247621947604,41.770516898004,0,3.6328125,-4.9609375,-0.671875,2013,1
"ACAD",-68.26019,44.376559,0,-4.7265625,-22.109375,-13.421875,2014,1
"MIMA",-71.3073876327855,42.4562880119539,0,-3.2734375,-12.0078125,-7.640625,2014,1
"SAIR",-71.0076952963716,42.4683066321236,0,-2.8828125,-10.9921875,-6.9375,2014,1
"SARA",-73.6299137747192,42.9983135110409,0.9609375,-4.7578125,-13.6015625,-9.1796875,2014,1
"SAGA",-72.3745368890111,43.4991728563661,0,-8.0390625,-17.65625,-12.8515625,2014,1
"MORR",-74.5345858039958,40.765223403805,0,-1.203125,-8.359375,-4.78125,2014,1
"WEFA",-73.4545254713119,41.2588625060016,0,-3,-8.90625,-5.9609375,2014,1
"MABI",-72.534770288065,43.6334208259905,0,-8.53125,-17.2890625,-12.90625,2014,1
"ROVA",-73.9247621947604,41.770516898004,0,-2.171875,-9.609375,-5.890625,2014,1
"ACAD",-68.26019,44.376559,0,-5.03125,-11.4921875,-8.2578125,2015,1
"MIMA",-71.3073876327855,42.4562880119539,0,-1.0234375,-11.25,-6.1328125,2015,1
"SAIR",-71.0076952963716,42.4683066321236,0,-0.71875,-9.4921875,-5.109375,2015,1
"SARA",-73.6299137747192,42.9983135110409,0,-2.4765625,-7.6875,-5.078125,2015,1
"SAGA",-72.3745368890111,43.4991728563661,0,-4.8984375,-12.9765625,-8.9375,2015,1
"MORR",-74.5345858039958,40.765223403805,0,0.046875,-8.4296875,-4.1875,2015,1
"WEFA",-73.4545254713119,41.2588625060016,0,-0.2109375,-8.03125,-4.1171875,2015,1
"MABI",-72.534770288065,43.6334208259905,0,-4.9765625,-13.5,-9.2421875,2015,1
"ROVA",-73.9247621947604,41.770516898004,0,-0.5625,-7.90625,-4.2421875,2015,1
"ACAD",-68.26019,44.376559,0,5.171875,-0.96875,2.1015625,2016,1
"MIMA",-71.3073876327855,42.4562880119539,0,7.390625,-1.15625,3.109375,2016,1
"SAIR",-71.0076952963716,42.4683066321236,0,7.7734375,-0.0234375,3.8828125,2016,1
"SARA",-73.6299137747192,42.9983135110409,0,5.1796875,0.7109375,2.9375,2016,1
"SAGA",-72.3745368890111,43.4991728563661,0,3.7578125,-1.0390625,1.359375,2016,1
"MORR",-74.5345858039958,40.765223403805,0,8.359375,1.796875,5.078125,2016,1
"WEFA",-73.4545254713119,41.2588625060016,0,7.5703125,1.7421875,4.65625,2016,1
"MABI",-72.534770288065,43.6334208259905,0,3.5234375,-1,1.2578125,2016,1
"ROVA",-73.9247621947604,41.770516898004,0,7.5,3.0234375,5.2578125,2016,1
"ACAD",-68.26019,44.376559,16.6875,2.203125,-8.7578125,-3.28125,2017,1
"MIMA",-71.3073876327855,42.4562880119539,4.2421875,4.5,-5.8203125,-0.65625,2017,1
"SAIR",-71.0076952963716,42.4683066321236,4.3984375,5.21875,-5.0390625,0.09375,2017,1
"SARA",-73.6299137747192,42.9983135110409,0.7421875,2.7109375,-7.4296875,-2.359375,2017,1
"SAGA",-72.3745368890111,43.4991728563661,0.7734375,1.640625,-11.5625,-4.9609375,2017,1
"MORR",-74.5345858039958,40.765223403805,0,6.3671875,-2.8515625,1.7578125,2017,1
"WEFA",-73.4545254713119,41.2588625060016,0.40625,5.6875,-3.0625,1.3203125,2017,1
"MABI",-72.534770288065,43.6334208259905,0.84375,1.7265625,-12.4375,-5.3515625,2017,1
"ROVA",-73.9247621947604,41.770516898004,0,4.8671875,-5.3515625,-0.2421875,2017,1
"ACAD",-68.26019,44.376559,0,-13.078125,-20.7734375,-16.9296875,2018,1
"MIMA",-71.3073876327855,42.4562880119539,0,-10.890625,-19.0390625,-14.9609375,2018,1
"SAIR",-71.0076952963716,42.4683066321236,0,-10.7578125,-18.7578125,-14.7578125,2018,1
"SARA",-73.6299137747192,42.9983135110409,0,-12.25,-22.1484375,-17.203125,2018,1
"SAGA",-72.3745368890111,43.4991728563661,0,-14.84375,-27.2890625,-21.0625,2018,1
"MORR",-74.5345858039958,40.765223403805,0,-9.4765625,-17.21875,-13.3515625,2018,1
"WEFA",-73.4545254713119,41.2588625060016,0,-9.6796875,-18.09375,-13.8828125,2018,1
"MABI",-72.534770288065,43.6334208259905,0,-15.4921875,-28.3828125,-21.9296875,2018,1
"ROVA",-73.9247621947604,41.770516898004,0,-10.28125,-19.34375,-14.8125,2018,1
"ACAD",-68.26019,44.376559,14.4765625,3.7109375,-7.8125,-2.046875,2019,1
"MIMA",-71.3073876327855,42.4562880119539,18.96875,9.3515625,-3.7109375,2.8203125,2019,1
"SAIR",-71.0076952963716,42.4683066321236,18.6796875,9.3515625,-3.1328125,3.109375,2019,1
"SARA",-73.6299137747192,42.9983135110409,16.2578125,5.796875,-4.6328125,0.578125,2019,1
"SAGA",-72.3745368890111,43.4991728563661,15.078125,4.2578125,-4.859375,-0.296875,2019,1
"MORR",-74.5345858039958,40.765223403805,24.2109375,12.671875,-2.7734375,4.953125,2019,1
"WEFA",-73.4545254713119,41.2588625060016,22.71875,12.03125,-1.78125,5.1171875,2019,1
"MABI",-72.534770288065,43.6334208259905,15.109375,4.703125,-5.0234375,-0.15625,2019,1
"ROVA",-73.9247621947604,41.770516898004,19.9765625,10.609375,-2.78125,3.921875,2019,1
"ACAD",-68.26019,44.376559,16.5078125,1.171875,-2.5703125,-0.703125,2020,1
"MIMA",-71.3073876327855,42.4562880119539,0.4296875,4.0390625,-0.7265625,1.65625,2020,1
"SAIR",-71.0076952963716,42.4683066321236,0.578125,5.1796875,-0.15625,2.5078125,2020,1
"SARA",-73.6299137747192,42.9983135110409,0.4296875,2.171875,-0.2578125,0.953125,2020,1
"SAGA",-72.3745368890111,43.4991728563661,0.3203125,1.2890625,-2.6796875,-0.703125,2020,1
"MORR",-74.5345858039958,40.765223403805,0,5.7578125,1.0390625,3.3984375,2020,1
"WEFA",-73.4545254713119,41.2588625060016,0.3125,4.1015625,0.5,2.296875,2020,1
"MABI",-72.534770288065,43.6334208259905,0.65625,1.53125,-2.78125,-0.6171875,2020,1
"ROVA",-73.9247621947604,41.770516898004,0.2265625,4.890625,1,2.9375,2020,1
"ACAD",-68.26019,44.376559,0,5.0078125,-3.578125,0.7109375,2021,1
"MIMA",-71.3073876327855,42.4562880119539,0,6.8671875,-5.421875,0.7265625,2021,1
"SAIR",-71.0076952963716,42.4683066321236,0,6.6796875,-3.6171875,1.53125,2021,1
"SARA",-73.6299137747192,42.9983135110409,0,3.1875,-4.59375,-0.703125,2021,1
"SAGA",-72.3745368890111,43.4991728563661,0,3.40625,-7.1484375,-1.8671875,2021,1
"MORR",-74.5345858039958,40.765223403805,2.2265625,5.8984375,-4.6171875,0.640625,2021,1
"WEFA",-73.4545254713119,41.2588625060016,1.6015625,5.84375,-4.2109375,0.8125,2021,1
"MABI",-72.534770288065,43.6334208259905,0,3.5078125,-7.59375,-2.0390625,2021,1
"ROVA",-73.9247621947604,41.770516898004,0,4.953125,-4.8125,0.0703125,2021,1
"ACAD",-68.26019,44.376559,2.171875,3.96875,-1.6015625,1.1875,2022,1
"MIMA",-71.3073876327855,42.4562880119539,0.5390625,7.6796875,3.421875,5.546875,2022,1
"SAIR",-71.0076952963716,42.4683066321236,0.59375,7.3671875,4.21875,5.7890625,2022,1
"SARA",-73.6299137747192,42.9983135110409,1.7734375,5.78125,1.5,3.640625,2022,1
"SAGA",-72.3745368890111,43.4991728563661,1.6171875,3.7421875,0.328125,2.0390625,2022,1
"MORR",-74.5345858039958,40.765223403805,1.5703125,10.2265625,8.1171875,9.1796875,2022,1
"WEFA",-73.4545254713119,41.2588625060016,1.1171875,9.8515625,6.5,8.1796875,2022,1
"MABI",-72.534770288065,43.6334208259905,1.8203125,3.953125,-0.15625,1.8984375,2022,1
"ROVA",-73.9247621947604,41.770516898004,0.953125,9.65625,5.703125,7.6796875,2022,1
"ACAD",-68.26019,44.376559,11.171875,10.859375,5.53125,8.203125,2023,1
"MIMA",-71.3073876327855,42.4562880119539,6,13.5390625,5.890625,9.7109375,2023,1
"SAIR",-71.0076952963716,42.4683066321236,7.6484375,13.09375,6.53125,9.8125,2023,1
"SARA",-73.6299137747192,42.9983135110409,1.5234375,9.4375,1.953125,5.6875,2023,1
"SAGA",-72.3745368890111,43.4991728563661,1.296875,8.34375,0.7265625,4.5390625,2023,1
"MORR",-74.5345858039958,40.765223403805,7.3984375,10.8203125,5.40625,8.1171875,2023,1
"WEFA",-73.4545254713119,41.2588625060016,8.1796875,12.578125,5.9609375,9.2734375,2023,1
"MABI",-72.534770288065,43.6334208259905,0.90625,8.421875,0.9375,4.6796875,2023,1
"ROVA",-73.9247621947604,41.770516898004,3.8671875,10.53125,4.34375,7.4296875,2023,1
"ACAD",-68.26019,44.376559,0.4921875,-0.4765625,-6.7578125,-3.6171875,2006,2
"MIMA",-71.3073876327855,42.4562880119539,2.40625,2.3515625,-2.4609375,-0.046875,2006,2
"SAIR",-71.0076952963716,42.4683066321236,3.53125,2.4921875,-2.5078125,-0.0078125,2006,2
"SARA",-73.6299137747192,42.9983135110409,2.921875,2.546875,0.0234375,1.28125,2006,2
"SAGA",-72.3745368890111,43.4991728563661,1.7421875,0.859375,-1.40625,-0.2734375,2006,2
"MORR",-74.5345858039958,40.765223403805,0.59375,5.4296875,1.3125,3.3671875,2006,2
"WEFA",-73.4545254713119,41.2588625060016,0.6875,3.78125,-0.7421875,1.5234375,2006,2
"MABI",-72.534770288065,43.6334208259905,2.0703125,1.5,-0.9765625,0.2578125,2006,2
"ROVA",-73.9247621947604,41.770516898004,3.078125,3.7890625,1.3203125,2.5625,2006,2
"ACAD",-68.26019,44.376559,0,-4.25,-15.7421875,-10,2007,2
"MIMA",-71.3073876327855,42.4562880119539,0,0.5078125,-9.46875,-4.4765625,2007,2
"SAIR",-71.0076952963716,42.4683066321236,0,0.7734375,-8.3203125,-3.78125,2007,2
"SARA",-73.6299137747192,42.9983135110409,0,-1.9609375,-12.7578125,-7.359375,2007,2
"SAGA",-72.3745368890111,43.4991728563661,0,-3.15625,-15.9609375,-9.5625,2007,2
"MORR",-74.5345858039958,40.765223403805,0,-0.03125,-6.6484375,-3.34375,2007,2
"WEFA",-73.4545254713119,41.2588625060016,0,0.3515625,-7.328125,-3.4921875,2007,2
"MABI",-72.534770288065,43.6334208259905,0.3671875,-3.40625,-16.8515625,-10.1328125,2007,2
"ROVA",-73.9247621947604,41.770516898004,0,-0.4765625,-7.5625,-4.0234375,2007,2
"ACAD",-68.26019,44.376559,0,-0.65625,-7.2265625,-3.953125,2008,2
"MIMA",-71.3073876327855,42.4562880119539,0,2.5078125,-7.15625,-2.328125,2008,2
"SAIR",-71.0076952963716,42.4683066321236,0,3.296875,-5.7421875,-1.21875,2008,2
"SARA",-73.6299137747192,42.9983135110409,0,-0.6015625,-8.171875,-4.3828125,2008,2
"SAGA",-72.3745368890111,43.4991728563661,0,-1.21875,-9.671875,-5.453125,2008,2
"MORR",-74.5345858039958,40.765223403805,0,3.4375,-5.0234375,-0.7890625,2008,2
"WEFA",-73.4545254713119,41.2588625060016,0,3.28125,-5.578125,-1.1484375,2008,2
"MABI",-72.534770288065,43.6334208259905,0,-1.65625,-10.140625,-5.8984375,2008,2
"ROVA",-73.9247621947604,41.770516898004,0,2.578125,-6.078125,-1.75,2008,2
"ACAD",-68.26019,44.376559,0,0.5,-16.9921875,-8.2421875,2009,2
"MIMA",-71.3073876327855,42.4562880119539,0,-1.5078125,-9.9921875,-5.75,2009,2
"SAIR",-71.0076952963716,42.4683066321236,0,-0.75,-9.046875,-4.8984375,2009,2
"SARA",-73.6299137747192,42.9983135110409,0,-3.1875,-11.328125,-7.2578125,2009,2
"SAGA",-72.3745368890111,43.4991728563661,0,-4.9609375,-15.5078125,-10.2265625,2009,2
"MORR",-74.5345858039958,40.765223403805,0,-1.4375,-8.3828125,-4.90625,2009,2
"WEFA",-73.4545254713119,41.2588625060016,0,0.2265625,-8.1875,-3.9765625,2009,2
"MABI",-72.534770288065,43.6334208259905,0,-5.359375,-16.5,-10.9296875,2009,2
"ROVA",-73.9247621947604,41.770516898004,0,-1.5,-9.53125,-5.5078125,2009,2
"ACAD",-68.26019,44.376559,0,-5.65625,-17.3671875,-11.5234375,2010,2
"MIMA",-71.3073876327855,42.4562880119539,0,-1.8671875,-12.140625,-7.0078125,2010,2
"SAIR",-71.0076952963716,42.4683066321236,0,-1.921875,-11.7421875,-6.828125,2010,2
"SARA",-73.6299137747192,42.9983135110409,0,-2.96875,-15.5703125,-9.2734375,2010,2
"SAGA",-72.3745368890111,43.4991728563661,0,-3.9609375,-18.953125,-11.4609375,2010,2
"MORR",-74.5345858039958,40.765223403805,0,-0.6015625,-10.578125,-5.59375,2010,2
"WEFA",-73.4545254713119,41.2588625060016,0,-2.5234375,-12.53125,-7.5234375,2010,2
"MABI",-72.534770288065,43.6334208259905,0,-4,-19.3984375,-11.703125,2010,2
"ROVA",-73.9247621947604,41.770516898004,0,-2.390625,-14.4921875,-8.4375,2010,2
"ACAD",-68.26019,44.376559,0,-6.859375,-17.2890625,-12.0703125,2011,2
"MIMA",-71.3073876327855,42.4562880119539,0,-2.9375,-15.2734375,-9.109375,2011,2
"SAIR",-71.0076952963716,42.4683066321236,0,-2.828125,-13.3828125,-8.109375,2011,2
"SARA",-73.6299137747192,42.9983135110409,2.078125,-6.3203125,-12.7578125,-9.5390625,2011,2
"SAGA",-72.3745368890111,43.4991728563661,0,-7.0234375,-17.5078125,-12.2734375,2011,2
"MORR",-74.5345858039958,40.765223403805,3.21875,-0.15625,-10.328125,-5.25,2011,2
"WEFA",-73.4545254713119,41.2588625060016,3.90625,-1.4765625,-10.859375,-6.171875,2011,2
"MABI",-72.534770288065,43.6334208259905,0,-7.8125,-18.8203125,-13.3125,2011,2
"ROVA",-73.9247621947604,41.770516898004,4.390625,-1.921875,-11.46875,-6.703125,2011,2
"ACAD",-68.26019,44.376559,2.9765625,-0.9765625,-9.171875,-5.078125,2012,2
"MIMA",-71.3073876327855,42.4562880119539,0,7.7421875,-2.2421875,2.75,2012,2
"SAIR",-71.0076952963716,42.4683066321236,0,7.609375,-1.3671875,3.1171875,2012,2
"SARA",-73.6299137747192,42.9983135110409,0,8.5703125,-2.3515625,3.109375,2012,2
"SAGA",-72.3745368890111,43.4991728563661,0,1.203125,-5.6171875,-2.2109375,2012,2
"MORR",-74.5345858039958,40.765223403805,0.921875,15.1015625,0.2734375,7.6796875,2012,2
"WEFA",-73.4545254713119,41.2588625060016,1.5234375,14.1875,0.578125,7.3828125,2012,2
"MABI",-72.534770288065,43.6334208259905,0.453125,2.46875,-5.90625,-1.71875,2012,2
"ROVA",-73.9247621947604,41.770516898004,0,13.3515625,-0.359375,6.5,2012,2
"ACAD",-68.26019,44.376559,4.7109375,12.578125,-3.6328125,4.46875,2013,2
"MIMA",-71.3073876327855,42.4562880119539,1.59375,15.0625,-2.6875,6.1875,2013,2
"SAIR",-71.0076952963716,42.4683066321236,2.5078125,14.3828125,-2.1328125,6.1171875,2013,2
"SARA",-73.6299137747192,42.9983135110409,0.578125,5.7578125,-6.4765625,-0.359375,2013,2
"SAGA",-72.3745368890111,43.4991728563661,1.578125,9.8984375,-5.9296875,1.9921875,2013,2
"MORR",-74.5345858039958,40.765223403805,0,8.15625,-3.28125,2.4375,2013,2
"WEFA",-73.4545254713119,41.2588625060016,3.1171875,11.28125,-4.4921875,3.390625,2013,2
"MABI",-72.534770288065,43.6334208259905,1.3515625,8.8828125,-6.6328125,1.1328125,2013,2
"ROVA",-73.9247621947604,41.770516898004,0,10.296875,-4.578125,2.859375,2013,2
"ACAD",-68.26019,44.376559,0,3,-5.328125,-1.171875,2014,2
"MIMA",-71.3073876327855,42.4562880119539,0,4.4921875,-5.4375,-0.4765625,2014,2
"SAIR",-71.0076952963716,42.4683066321236,0,4.640625,-4.2421875,0.203125,2014,2
"SARA",-73.6299137747192,42.9983135110409,0,1.3984375,-6.9375,-2.7734375,2014,2
"SAGA",-72.3745368890111,43.4991728563661,0,1.7578125,-9.9765625,-4.109375,2014,2
"MORR",-74.5345858039958,40.765223403805,0,3.7734375,-5.7265625,-0.9765625,2014,2
"WEFA",-73.4545254713119,41.2588625060016,0,4.421875,-5.3125,-0.4375,2014,2
"MABI",-72.534770288065,43.6334208259905,0,1.609375,-10.65625,-4.53125,2014,2
"ROVA",-73.9247621947604,41.770516898004,0,4.1875,-6.3203125,-1.0625,2014,2
